Date : 2024-06-28 21:47:49
Directory : h:\HUST\Thesis\Gioi-Mon-Frontend\Gioi-Mon-Frontend\src
Total : 263 files,  19383 codes, 342 comments, 702 blanks, all 20427 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         89 |      7,986 |        258 |        374 |      8,618 |
| XML            |        122 |      6,340 |          0 |        122 |      6,462 |
| JSON           |          1 |      2,855 |          0 |          1 |      2,856 |
| TypeScript     |         47 |      1,199 |         74 |        132 |      1,405 |
| CSS            |          3 |        888 |         10 |         63 |        961 |
| SCSS           |          1 |        115 |          0 |         10 |        125 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        263 |     19,383 |        342 |        702 |     20,427 |
| . (Files)                                                                                                                 |          4 |         35 |          6 |          8 |         49 |
| api                                                                                                                       |         17 |        306 |          0 |         27 |        333 |
| api (Files)                                                                                                               |          2 |         24 |          0 |          3 |         27 |
| api\modules                                                                                                               |         15 |        282 |          0 |         24 |        306 |
| api\modules\authentication                                                                                                |          3 |         45 |          0 |          4 |         49 |
| api\modules\post                                                                                                          |          4 |         45 |          0 |          6 |         51 |
| api\modules\stories                                                                                                       |          5 |        102 |          0 |          6 |        108 |
| api\modules\upload                                                                                                        |          1 |         15 |          0 |          1 |         16 |
| api\modules\user                                                                                                          |          2 |         75 |          0 |          7 |         82 |
| app                                                                                                                       |         88 |      8,789 |        251 |        426 |      9,466 |
| app (Files)                                                                                                               |          1 |         21 |          0 |          2 |         23 |
| app\History                                                                                                               |          1 |         15 |          0 |          3 |         18 |
| app\components                                                                                                            |         65 |      5,937 |        104 |        338 |      6,379 |
| app\components\Background                                                                                                 |          1 |         45 |          0 |          4 |         49 |
| app\components\Common                                                                                                     |         21 |      1,329 |         13 |         87 |      1,429 |
| app\components\Common (Files)                                                                                             |          4 |        136 |          0 |          7 |        143 |
| app\components\Common\Button                                                                                              |         15 |      1,146 |         13 |         79 |      1,238 |
| app\components\Common\Image                                                                                               |          2 |         47 |          0 |          1 |         48 |
| app\components\Directional                                                                                                |          1 |          6 |          0 |          2 |          8 |
| app\components\Feed                                                                                                       |          4 |      1,077 |         31 |         34 |      1,142 |
| app\components\Feed (Files)                                                                                               |          2 |        476 |         29 |         21 |        526 |
| app\components\Feed\Post                                                                                                  |          2 |        601 |          2 |         13 |        616 |
| app\components\Footer                                                                                                     |          2 |        190 |          0 |         15 |        205 |
| app\components\Header                                                                                                     |          3 |        231 |          0 |         10 |        241 |
